id,mutation,required_response,inherits_round2,reports,Basalt,Fiber,Gneiss,Karst,Moraine,Obsidian,Schist,Tephra,Trellis
N1,Differentiate from equality at one point instead of on a neighbourhood,The derivative step stays open naming the missing eventual equality,M4,8,Local differentiation,T5,Point equality differentiated,,Point equality,Neighbourhood equality,Local differentiation,Locality,Local transport
N2,Specialise the induction hypothesis to one point before the successor step,The successor step cannot claim an on-set or neighbourhood equality,,1,,,,,Induction hypothesis,,,,
N3,Invert a nonzero or regular element as if it were a unit,Cancellation may use regularity; inversion needs unit evidence,M6,4,,T15,Nonunit cancellation,T9,,,,Algebraic structure,
N4,Differentiate a jet and keep the input precision,Lower the output order or request one more input coefficient,M12,6,Precision,,Overstated jet precision,T11,,Extra derivative coefficient,Jet differentiation,Jet precision,
N5,"Return the wrong root branch, or use a nonunit derivative, with a correct residual",Reject the residual bridge at the branch or unit premise,M10,5,Root observation,,Wrong residual-root branch,T12,,,Residual certificate,Regular branch,
N6,Present a finite jet as an exact or analytic identity,Keep the finite guarantee; the infinite claim stays open,M13,3,,T20,Jet presented as exact,,,,,,Observation kind
N7,Count a witness plus coverage as complete solving,Demand soundness for every listed solution,M15,4,Complete solving,T21,Incomplete root set,,,,,Complete solving,
N8,"Infer equality from an interval with unequal endpoints, or reject it when they coincide",Accept only the equal-endpoint bridge,M38,3,Enclosure,T22,Noncollapsed bounds,,,,,,
N9,Reuse a branch-local fact in a sibling branch by printed name or cache,Reject the context embedding,M16,9,Revision,T16,Wrong anchor or sibling scope,"T1, T3",Sibling branch,Sibling branch,Refinement scope,Scope,Context discipline
N10,Use a result to justify the guard that authorises it,Reject cyclic assembly; induction uses a checked rule,M43,7,,,Self-justifying guard,T16,Self-conditional guard,Own prerequisite,Guard handling,Guard dependency,Rule closure
N11,"Change the selected structure, action, measure, or instance under unchanged notation",Old evidence is unusable without a transport theorem; report a statement change,M18,7,,T17,,T2,Different action or scalar structure,Different measure or topology,Structure choice,Chosen action,Structure stability
N12,Let proof search fill a meaning-bearing hole to ease the goal,Keep the statement unresolved,M20,1,,,Meaning-bearing hole,,,,,,
N13,"Combine a curve, level, and transfer proof chosen in incompatible witness scopes",Reject the flattened existentials,M47,1,,,Data chosen in one branch,,,,,,
