id,question,consensus,variants,explicit,implicit,Alder,Bryony,Clover,Fennel,Heather,Juniper,Laurel,Rowan,Sorrel
T1,What does the evidence index cost on a real file?,Unmeasured by all nine; every companion reports finite-model counts only,"Clover measures 211 versus 16 ground instances in its model; Fennel, Juniper, Laurel measure the exponential family",7,2,Y,Y,Y,P,Y,P,Y,Y,Y
T2,Which registry rules fire?,"Only model traces: two rules for the fourth coefficient, one more for the second; no Mathlib histogram",Clover: seven-rule registry fires two; Heather: one implication in the toy resolver,7,2,Y,Y,Y,P,Y,P,Y,Y,Y
T3,Does simp break the anchor?,"Three cases: definitional reuse, checked equality transport, consumer theorem or iff; keep the old anchor; never rekey by string",Companions refuse all transport (Heather) or key on lexical context (Sorrel),9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
T4,How is reification proved once for many checkers?,"Share a typed syntax, environment, and bridge proof interface; each checker keeps its own denotation theorem",Bryony factors a semiring core with typed extensions; Rowan uses dependent vectors for arity,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
T5,What is the completeness theorem for each Leant abstraction?,"Affine equality is complete relative to the admissible observation image, proved by a realizable frame; nothing is claimed for other contracts",Rowan: finite unions of linear sets with constructed witnesses; Heather: rank lower bound; Alder: integer combinations into an abelian group,8,1,Y,Y,Y,Y,Y,P,Y,Y,Y
T6,Where does almost-everywhere reasoning enter the row?,"As a relation indexed by its measure, consumed by the integral-congruence theorem at that measure; no point evaluation; countable versus uncountable families",Alder: a pointwise upgrade under continuity and full support; Sorrel: the Cauchy formula's a.e. replacement,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
T7,Does a lexical structure context shorten the FLT preambles?,Proposed by all nine for meaning stability; measured by none,,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
T8,Can the closure theorem's rule generation be bounded?,"Yes: a finite typed term pool, first-order templates, and an explicit bound; completeness is relative to the materialised rules",Sorrel adds constructor depth; Bryony adds epochs; Juniper adds two completeness flags,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
T9,What does a reader recover from the compact view?,"A blind recovery test of domain, quantifiers, measure, branch, precision, and strength; not run",,8,1,Y,Y,Y,Y,Y,P,Y,Y,Y
T10,Is one implementation enough?,"No; every companion has a separately written oracle, and none is an independent team or a Lean implementation",,7,2,Y,Y,Y,P,Y,P,Y,Y,Y
Q1,Which first use-site interface will we ship?,"One property-implicit exact-quotient binder and method application, compared with an ordinary Lean helper",Heather ships the behavioural slice first; Clover and Juniper first port their finite engines,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q2,What is the finite automatic fragment?,Ground Horn rules over a finite term pool; the frontier antichain (or closure) is complete only for the materialised rules,Six antichain engines; three closure-only engines,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q3,What may inference decide about data?,Only authorized witness holes under a fixed specification; meaning-bearing holes are sealed,Fennel and Rowan seal a metavariable-free target; the rest classify by dependency closure,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q4,How will required proof methods be checked?,A recipe tree or support-restricted helper; policy filtered before minimization; token occurrence is insufficient,Alder proposes a derivation automaton; Sorrel an intensional plan certificate,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q5,Which behavioural bridge and completeness claim come first?,The list grammar with a proved affine length model and a realizable frame for the actual input type,Heather ships four frames; Rowan semilinear unions; Alder integer frames,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q6,What authorizes negative Leant selection?,"A realized admissible witness with the negative transfer direction, or a proof of the negation; model witnesses stay model-relative",,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q7,Which nonalgebraic task is the first transfer test?,Local differentiation as the development case; a held-out task chosen after the freeze,Bryony: weighted Fubini; Sorrel: the Cauchy formula; Juniper: inverse derivatives and quotient descent; Laurel: sharp Lipschitz; Fennel: q-Pochhammer,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q8,What evidence is retained and rechecked?,"Target, context, structures, candidate, proof or certificate, dependencies, policy; rebuild per declaration first",Laurel reopens used premises; Clover keys on the whole source text,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q9,What performance result would justify a larger checker or native execution?,"None claimed; measure index, firing, growth, and rebuild against existing tactics under a chosen policy first",,8,1,Y,Y,Y,Y,Y,P,Y,Y,Y
Q10,What outcome would end the separate-language experiment?,"If L1, L2, or the renderer explains the gains, ship those; L3 is the type-layer test; L4 is the syntax test",,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
