id,question,consensus,variants,explicit,implicit,Basalt,Fiber,Gneiss,Karst,Moraine,Obsidian,Schist,Tephra,Trellis
R1,How is a reflective checker proved sound in practice?,"Executable coefficient data, a denotation into an arbitrary commutative ring, normalisation and operation lemmas, checker soundness, and a separate reification bridge",Schist compiles an affine instance with its original-target bridge; Moraine compiles a length model; the sparse polynomial checker is proved on paper by five reports and formalised by none,8,1,Y,Y,Y,Y,P,Y,Y,Y,Y
R2,Where does grobner sit?,A bounded proof-producing provider and control; retain its proof term; assume no certificate export; failure is not negation,Unanimous among the eight that answer,8,0,Y,Y,Y,Y,N,Y,Y,Y,Y
R3,What is the accounting layer over Lean's own workspace?,"An index into Lean's context: role metadata, source-to-evidence links, observation origins, receipts; no competing logical store",Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
R4,Partial or total by default?,Total operations when importing Lean; an explicit partial-expression package whose domain is part of the type,Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
R5,"Which package first, measured?","A small end-to-end slice with a proved checker and one property package; the inspected files are development material, not held out","First package differs: exact Frey quotients (Fiber, Obsidian, Karst second), sparse polynomial checker (Basalt, Karst, Gneiss, Tephra), an affine checker (Schist, Trellis), a bundle adapter for coinduced invariants (Moraine), ideal-preserving maps (Basalt)",9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
R6,When does the accelerated profile earn its axiom?,No threshold is claimed; measure on the actual checker after the strict route exists; policy is decided before speed,Unanimous,8,1,Y,Y,Y,Y,P,Y,Y,Y,Y
R7,How do accepted certificates survive a toolchain upgrade?,"Recheck in the destination environment, inspect the actual axiom inventory, issue a new receipt; a renamed axiom is not an allowlist edit",Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
R8,What does Leant contribute to the examples specifically?,"Structural composition of generated obligations, measured separately from single-lemma lookup; behavioral results only through Lean-checked contracts","Basalt, Karst, and Tephra add the realisability bridge; Moraine adds a complete affine length criterion; Fiber adds backward constraints on holes",9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
R9,Can the fifty-one mutations be executed?,Finite Python subsets were executed; the paired Lean suite is an explicit backlog; every rejection needs a positive neighbour,Unanimous,8,1,Y,Y,Y,Y,P,Y,Y,Y,Y
R10,Is nine the right number?,"No; fewer reports, each implementing the same small interface, plus adversarial review",Tephra: independent implementations of one interface; Gneiss: a few implementations with distinct goals; Karst and Basalt: the gate is a compiled end-to-end slice,8,1,Y,Y,Y,Y,P,Y,Y,Y,Y
Q1,What is the first task?,As R5: one compiled slice with a proved checker and one property package,Same spread as R5,8,1,Y,Y,Y,Y,P,Y,Y,Y,Y
Q2,What is the result vocabulary?,"Ordinary Lean predicates with typed indices (domain, filter, measure, precision, branch, completeness); extensible, not a fixed ladder",Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q3,What is the trusted execution route?,Kernel reduction or proof-producing reconstruction; native evaluation is an audited optional profile,Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q4,What may an author delegate by specification?,"Any witness satisfying a frozen specification, without a notice per candidate; never a changed domain, branch, structure, or quantifier",Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q5,How visible is a conditional result?,Its condition is shown by default; a blind reading test decides whether the default suffices,Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q6,May representations change automatically?,Only through registered relation-specific theorems that retain the selected route; no global planning,Obsidian allows silent substitution of one exact normaliser for another under the same guarantee and policy,8,1,Y,Y,Y,Y,P,Y,Y,Y,Y
Q7,How does Leant report negative outcomes?,"A taxonomy: unsupported, exhausted, non-derivable in a calculus, model-relative counterexample, checked refutation at the original target",Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q8,What is the first definition interface?,"One package with proved interface lemmas: exact quotients, CDF observations, characteristic profiles, representing families, or phase functions",Spread as R5,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q9,What evidence survives migration?,"Retained terms or certificates at a pin; a new receipt after rechecking the statement, dependencies, and policy",Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
Q10,What result would keep only the library?,"If the shared-library arm explains the gains, ship the packages and stop the syntax",Unanimous,9,0,Y,Y,Y,Y,Y,Y,Y,Y,Y
