report,file,imports,lines,theorems,result,warnings,elapsed_ms
Alder,companion/generated/Locality.lean,none,18,1,compiles,0,77160
Alder,companion/generated/Quotient.lean,none,81,5,compiles,10,6607
Bryony,evidence/frey4/Requirements.lean,none,37,2,compiles,2,5193
Clover,companion/CloverCore.lean,none,52,7,compiles; 7 theorems axiom-free,0,4226
Clover,companion/GeneratedExamples.lean,CloverCore,43,3,compiles against the olean built here,3,21497
Fennel,prototype/generated/query_0_route_0.lean,none,13,1,compiles,7,3127
Fennel,prototype/generated/query_1_route_0.lean,none,11,1,compiles,8,4095
Fennel,prototype/generated/query_1_route_1.lean,none,21,1,compiles,3,2826
Fennel,prototype/generated/query_2_route_0.lean,none,21,1,compiles,3,2964
Heather,companion/generated/UseSite.lean,Mathlib,8,1,compiles (cold Mathlib import),0,689405
Heather,companion/generated/diagonal_balance.lean,Mathlib,10,1,compiles; 3 unused simp arguments,3,91968
Heather,companion/generated/empty_preserves.lean,Mathlib,14,1,compiles,0,84914
Heather,companion/generated/even_reverse_length.lean,Mathlib,10,1,"FAILS: simp closes the goal, the template's trailing omega has no goal; compiles once that line is removed",3,203293
Heather,companion/generated/reverse_append_length.lean,Mathlib,10,1,compiles; 2 unused simp arguments,2,434349
Juniper,companion/Generated.lean,none,53,2,compiles,6,16696
Laurel,prototype/generated/alternatives.lean,none,29,2,compiles,3,8891
Laurel,prototype/generated/cycle.lean,none,10,0,compiles (no theorem: unseeded cycle),0,11897
Laurel,prototype/generated/frey_a4.lean,none,34,2,compiles,2,67257
Laurel,prototype/generated/quotient.lean,none,48,3,compiles,4,11098
Sorrel,SelectedPlan.lean,Init,23,1,compiles,2,7875
